Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,The time you started at:,The time you ended at,WARD,Time Spent
Londonderry Chapel,Bonnie Doon Stake,2,3,35,60,0,1,180,2023-12-13 10:30:00,2023-12-13 11:30:00,Londonderry Ward,60.0
Bearspaw Chapel,Bonnie Doon Stake,2,0,20,45,0,1,95,2023-12-13 10:00:00,2023-12-13 11:29:00,Southgate Ward,89.0
Gateway Stake Centre,Gateway Stake,7,7,46,60,0,1,219,2023-12-13 10:20:00,2023-12-13 11:20:00,Rio Vista Ward,60.0
Gateway Stake Centre,Gateway Stake,1,1,15,55,1,2,236,2023-12-13 10:30:00,2023-12-13 11:25:00,Crawford Plains Ward,55.0
Riverbend Stake Centre,Riverbend Stake,2,0,20,45,0,1,13,2023-12-13 10:45:00,2023-12-13 11:30:00,Rutherford Ward,45.0
Bearspaw Chapel,Gateway Stake,1,0,15,45,0,1,15,2023-12-13 10:30:00,2023-12-13 11:15:00,Crawford Plains WardLee Ridge Ward,45.0
Londonderry Chapel,Bonnie Doon Stake,2,2,19,45,0,1,198,2023-12-13 10:45:00,2023-12-13 11:20:00,Londonderry Ward,35.0
Coronation Park Chapel,Edmonton North Stake,1,0,30,47,1,2,155,,,Stony Plain Ward,54.70873786407767
Londonderry Chapel,Bonnie Doon Stake,2,0,4,10,0,1,0,2023-12-13 10:30:00,,Londonderry Ward,54.70873786407767
North Stake Centre,Edmonton North Stake,2,4,23,50,0,1,203,2023-12-13 10:40:00,2023-12-13 11:30:00,Griesbach Ward,50.0
Londonderry Chapel,Bonnie Doon Stake,2,0,12,50,0,1,180,2023-12-13 10:30:00,2023-12-13 11:33:00,Clareview Ward,63.0
Londonderry Chapel,Bonnie Doon Stake,1,3,7,30,0,1,7,2023-12-13 10:30:00,2023-12-13 11:00:00,Londonderry Ward,30.0
Riverbend Stake Centre,Riverbend Stake,2,0,40,60,0,1,20,2023-12-13 10:30:00,2023-12-13 11:35:00,Greenfield Ward,65.0
Coronation Park Chapel,Bonnie Doon Stake,2,2,72,45,1,3,63,2023-12-13 10:00:00,2023-12-13 11:21:00,Coronation Park Ward,81.0
