Drop Off Location,Stake,# of Adult Volunteers in this route,# of Youth Volunteers in this route,# of Donation Bags Collected/Route,Time to Complete (in minutes) pick up of bags /route,Number of routes completed,# of Doors in Route
Bonnie Doon Stake Centre,Bonnie Doon Stake,4,0,42,60,2,194
Riverbend Stake Centre,Riverbend Stake,1,2,40,30,1,220
Londonderry Chapel,Bonnie Doon Stake,1,1,30,60,1,100
Londonderry Chapel,Bonnie Doon Stake,1,5,25,45,1,25
Coronation Park Chapel,Bonnie Doon Stake,2,1,55,110,2,180
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,40,150,2,180
Bearspaw Chapel,Gateway Stake,6,5,48,49,1,162
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,17,51,1,75
Riverbend Stake Centre,Riverbend Stake,2,2,65,90,2,650
Bearspaw Chapel,Gateway Stake,2,2,15,60,1,100
Gateway Stake Centre,Gateway Stake,2,3,31,50,1,180
Londonderry Chapel,Bonnie Doon Stake,2,0,6,35,1,110
Londonderry Chapel,Bonnie Doon Stake,1,0,30,75,2,250
Coronation Park Chapel,Bonnie Doon Stake,4,0,37,45,2,180
Bearspaw Chapel,Bonnie Doon Stake,2,1,10,30,1,90
Londonderry Chapel,Bonnie Doon Stake,4,0,17,30,1,17
Gateway Stake Centre,Gateway Stake,2,2,34,28,1,203
Riverbend Stake Centre,Riverbend Stake,1,1,15,15,1,8
Gateway Stake Centre,Gateway Stake,1,0,14,24,2,146
Riverbend Stake Centre,Riverbend Stake,3,0,52,80,2,313
Gateway Stake Centre,Gateway Stake,2,3,50,90,3,460
Coronation Park Chapel,Bonnie Doon Stake,2,2,37,57,1,180
North Stake Centre,Edmonton North Stake,2,0,23,30,1,20
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,28,57,2,200
North Stake Centre,Edmonton North Stake,2,2,19,30,1,100
Riverbend Stake Centre,Riverbend Stake,2,0,15,40,1,80
Riverbend Stake Centre,Riverbend Stake,2,3,27,60,1,21
Bearspaw Chapel,Bonnie Doon Stake,2,2,9,60,1,150
Gateway Stake Centre,Gateway Stake,2,3,30,35,1,30
Riverbend Stake Centre,Riverbend Stake,1,5,70,60,1,350
Bearspaw Chapel,Gateway Stake,2,1,20,60,1,147
Gateway Stake Centre,Gateway Stake,2,4,14,30,1,190
Gateway Stake Centre,Gateway Stake,2,0,38,90,1,243
Bearspaw Chapel,YSA Stake,1,2,50,60,2,110
Coronation Park Chapel,Bonnie Doon Stake,1,1,15,60,1,100
Gateway Stake Centre,Gateway Stake,2,0,6,15,2,136
Riverbend Stake Centre,Riverbend Stake,2,1,35,30,1,179
Riverbend Stake Centre,Riverbend Stake,2,0,8,20,1,150
Gateway Stake Centre,Gateway Stake,2,4,25,34,1,198
Londonderry Chapel,Bonnie Doon Stake,1,0,38,90,2,300
Londonderry Chapel,Bonnie Doon Stake,2,0,28,45,1,185
North Stake Centre,Edmonton North Stake,2,1,21,45,2,150
Riverbend Stake Centre,Riverbend Stake,1,1,30,45,1,158
Riverbend Stake Centre,Riverbend Stake,2,1,46,60,1,220
Gateway Stake Centre,Gateway Stake,2,1,25,45,1,230
Gateway Stake Centre,Gateway Stake,2,1,40,60,1,228
Bearspaw Chapel,Bonnie Doon Stake,1,2,31,60,1,143
Bearspaw Chapel,Gateway Stake,2,4,24,40,1,169
Gateway Stake Centre,Gateway Stake,2,0,8,30,1,144
North Stake Centre,Edmonton North Stake,2,1,17,60,1,50
Gateway Stake Centre,Gateway Stake,2,4,40,37,1,207
Riverbend Stake Centre,Riverbend Stake,2,0,44,80,1,200
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,19,60,2,280
Gateway Stake Centre,Gateway Stake,2,0,25,30,1,150
North Stake Centre,Edmonton North Stake,1,3,30,75,1,100
Bearspaw Chapel,Gateway Stake,4,0,24,40,1,155
Riverbend Stake Centre,Riverbend Stake,2,4,45,120,1,45
Riverbend Stake Centre,Riverbend Stake,2,1,80,70,2,400
Gateway Stake Centre,Gateway Stake,2,1,24,60,1,220
Gateway Stake Centre,Gateway Stake,1,2,32,60,2,215
North Stake Centre,Edmonton North Stake,1,0,5,30,1,40
Londonderry Chapel,Bonnie Doon Stake,2,4,22,20,1,180
Riverbend Stake Centre,Riverbend Stake,3,0,14,30,1,159
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,14,45,1,110
Riverbend Stake Centre,Riverbend Stake,3,1,34,60,1,150
Riverbend Stake Centre,Riverbend Stake,2,0,12,35,1,159
North Stake Centre,Edmonton North Stake,1,4,22,60,1,236
Riverbend Stake Centre,Riverbend Stake,2,2,35,30,1,207
North Stake Centre,Edmonton North Stake,1,5,16,30,1,120
Londonderry Chapel,Bonnie Doon Stake,1,4,40,60,2,400
Bearspaw Chapel,Bonnie Doon Stake,4,0,8,45,1,80
Gateway Stake Centre,Gateway Stake,2,3,23,58,1,23
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,3,11,30,2,170
Gateway Stake Centre,Gateway Stake,3,1,28,30,1,123
Riverbend Stake Centre,Riverbend Stake,4,0,25,60,1,100
North Stake Centre,Edmonton North Stake,3,0,16,30,1,75
